id,nombre_de_la_ocupaci_n,nivel,n_mero_de_inscritos_2019,n_mero_de_inscritos_2020,participacion_2019,participacion_2020,variacion_2020_vs_2019,contribuci_n_a_la_variaci,vacantes_estimadas
1,Miembros del Poder Ejecutivo y Legislativo,Directivo,7,3,0.02,0.02,-5.71,-0.01,0
2,Personal Directivo de la Administración Pública,Directivo,156,72,0.46,0.36,-5.38,-0.25,7
3,"Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas",Directivo,12,6,0.04,0.03,-5,-0.02,0
4,"Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía",Directivo,31,20,0.09,0.1,-3.55,-0.03,2
5,"Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios",Directivo,36,15,0.11,0.08,-5.83,-0.06,1
6,"Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción",Directivo,16,11,0.05,0.06,-3.13,-0.01,1
7,Directores y gerentes generales de servicios y procesos de negocio.,Directivo,23,13,0.07,0.07,-4.35,-0.03,1
8,Gerentes Financieros,Directivo,53,33,0.16,0.17,-3.77,-0.06,3
9,Gerentes de Talento Humano,Directivo,42,28,0.12,0.14,-3.33,-0.04,2
10,Gerentes de Compras y Adquisiciones,Directivo,63,35,0.19,0.18,-4.44,-0.08,3
11,Gerentes de Otros Servicios Administrativos,Directivo,240,169,0.71,0.85,-2.96,-0.21,16
12,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",Directivo,19,5,0.06,0.03,-7.37,-0.04,0
13,"Gerentes de Banca, Crédito e Inversiones",Directivo,28,17,0.08,0.09,-3.93,-0.03,1
14,Gerentes de Otros Servicios a las Empresas,Directivo,22,16,0.06,0.08,-2.73,-0.02,1
15,Gerentes de Empresas de Telecomunicaciones,Directivo,9,1,0.03,0.01,-8.89,-0.02,0
16,Gerentes de Servicios de Correo y Mensajería,Directivo,6,0,0.02,,-10,-0.02,0
17,Gerentes de Ingeniería,Directivo,81,41,0.24,0.21,-4.94,-0.12,4
